=== STATUS VALUES for UI_Ready / API_Ready / DB_Verified ===,,,,,,,,,,,,,
(blank) = TODO - Not started. Pending coding.,,,,,,,,,,,,,
Done = Completed. No action needed.,,,,,,,,,,,,,
Reopened = Was Done but needs rework. Coding AI: pick this up.,,,,,,,,,,,,,
Discussion_Pending = Waiting on human decision before coding can proceed.,,,,,,,,,,,,,
Blocked = Serious obstacle - dependency missing or external issue. Cannot proceed until resolved.,,,,,,,,,,,,,
Deprecated = Archived. Intentionally dropped - do not implement.,,,,,,,,,,,,,
===,,,,,,,,,,,,,
UR_ID,Comp_ID,Label,Path,Archetype,Links_To,Trigger,API_Endpoint,DB_Tables,Notes,UI_Ready,API_Ready,DB_Verified,Polish suggestion
2.1.1/2.2.1,LOGIN-001,Email or Phone Input,/login,INPUT,,onChange,,,Login identifier,Done,Done,Done,
2.1.1/2.2.1,LOGIN-002,Password Input,/login,INPUT,,onChange,,,,Done,Done,Done,
2.1.1/2.2.1,LOGIN-003,Login Button,/login,ACTION,/dashboard,onClick,POST /api/auth/login,"auth.user_account, auth.login_attempt, rbac.user_role, core.user_profile",Redirects based on role,Done,Done,Done,
2.1.1/2.2.1,LOGIN-004,Forgot Password Link,/login,ACTION,/forgot-password,onClick,,,,Done,Done,Done,
2.1.1/2.2.1,LOGIN-005,Login Error Message,/login,DISPLAY,,onError,,,Invalid credentials,Done,Done,Done,
2.1.1,FORGOT-001,Email Input,/forgot-password,INPUT,,onChange,,,,Done,Done,Done,
2.1.1,FORGOT-002,Send OTP Button,/forgot-password,ACTION,,onClick,POST /api/auth/forgot-password,"auth.user_account, auth.otp, notify.notification",,Done,Done,Done,
2.1.1,FORGOT-003,OTP Input,/forgot-password,INPUT,,onChange,,,6 digits,Done,Done,Done,
2.1.1,FORGOT-004,Verify OTP Button,/forgot-password,ACTION,,onClick,,,Frontend validation,Done,Done,Done,
2.1.1,FORGOT-005,New Password Input,/forgot-password,INPUT,,onChange,,,"Min 8 chars, mixed case, number, special",Done,Done,Done,
2.1.1,FORGOT-006,Confirm Password Input,/forgot-password,INPUT,,onChange,,,Must match,Done,Done,Done,
